number,position,positionText,points,grid,laps,status,driverId,constructorId,Time.millis,Time.time,FastestLap.rank,FastestLap.lap,FastestLap.Time.time,FastestLap.AverageSpeed.units,FastestLap.AverageSpeed.speed,season,round
7,14,R,0,20,49,Engine,brundle,brabham,,,,,,,,1989,8
28,15,R,0,4,49,Fire,berger,ferrari,,,,,,,,1989,8
29,16,R,0,13,46,Engine,bernard,larrousse,,,,,,,,1989,8
30,17,R,0,12,39,Engine,alliot,larrousse,,,,,,,,1989,8
3,18,R,0,18,32,Spun off,palmer,tyrrell,,,,,,,,1989,8
8,19,R,0,14,31,Engine,modena,brabham,,,,,,,,1989,8
4,20,R,0,22,28,Spun off,alesi,tyrrell,,,,,,,,1989,8
17,21,R,0,17,23,Handling,larini,osella,,,,,,,,1989,8
6,22,R,0,5,19,Radiator,patrese,williams,,,,,,,,1989,8
16,23,R,0,8,15,Transmission,capelli,march,,,,,,,,1989,8
22,24,R,0,25,16,Engine,cesaris,dallara,,,,,,,,1989,8
1,25,R,0,1,11,Spun off,senna,mclaren,,,,,,,,1989,8
31,26,R,0,23,2,Gearbox,moreno,coloni,,,,,,,,1989,8
25,27,F,0,0,0,Did not qualify,arnoux,ligier,,,,,,,,1989,8
10,28,F,0,0,0,Did not qualify,cheever,arrows,,,,,,,,1989,8
40,29,F,0,0,0,Did not qualify,tarquini,ags,,,,,,,,1989,8
38,30,F,0,0,0,Did not qualify,danner,rial,,,,,,,,1989,8
11,1,1,9,1,75,Finished,hunt,mclaren,6140430,1:42:20.43,,,,,,1976,4
1,2,2,6,2,75,Finished,lauda,ferrari,6171400,+30.97,,,,,,1976,4
6,3,3,4,7,75,Finished,nilsson,team_lotus,6188450,+48.02,,,,,,1976,4
7,4,4,3,12,74,+1 Lap,reutemann,brabham-alfa_romeo,,,,,,,,1976,4
22,5,5,2,10,74,+1 Lap,amon,ensign,,,,,,,,1976,4
8,6,6,1,11,74,+1 Lap,pace,brabham-alfa_romeo,,,,,,,,1976,4
20,7,7,0,21,74,+1 Lap,ickx,wolf,,,,,,,,1976,4
16,8,8,0,22,74,+1 Lap,pryce,shadow,,,,,,,,1976,4
19,9,9,0,20,74,+1 Lap,jones,surtees,,,,,,,,1976,4
21,10,10,0,23,73,+2 Laps,leclere,wolf,,,,,,,,1976,4
