season,round,url,raceName,date,circuitId,time
2018,4,https://en.wikipedia.org/wiki/2018_Azerbaijan_Grand_Prix,Azerbaijan Grand Prix,2018-04-29,BAK,12:10:00Z
2018,5,https://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix,Spanish Grand Prix,2018-05-13,catalunya,13:10:00Z
2018,6,https://en.wikipedia.org/wiki/2018_Monaco_Grand_Prix,Monaco Grand Prix,2018-05-27,monaco,13:10:00Z
2018,7,https://en.wikipedia.org/wiki/2018_Canadian_Grand_Prix,Canadian Grand Prix,2018-06-10,villeneuve,18:10:00Z
2018,8,https://en.wikipedia.org/wiki/2018_French_Grand_Prix,French Grand Prix,2018-06-24,ricard,14:10:00Z
2018,9,https://en.wikipedia.org/wiki/2018_Austrian_Grand_Prix,Austrian Grand Prix,2018-07-01,red_bull_ring,13:10:00Z
2018,10,https://en.wikipedia.org/wiki/2018_British_Grand_Prix,British Grand Prix,2018-07-08,silverstone,13:10:00Z
2018,11,https://en.wikipedia.org/wiki/2018_German_Grand_Prix,German Grand Prix,2018-07-22,hockenheimring,13:10:00Z
2018,12,https://en.wikipedia.org/wiki/2018_Hungarian_Grand_Prix,Hungarian Grand Prix,2018-07-29,hungaroring,13:10:00Z
2018,13,https://en.wikipedia.org/wiki/2018_Belgian_Grand_Prix,Belgian Grand Prix,2018-08-26,spa,13:10:00Z
2018,14,https://en.wikipedia.org/wiki/2018_Italian_Grand_Prix,Italian Grand Prix,2018-09-02,monza,13:10:00Z
2018,15,https://en.wikipedia.org/wiki/2018_Singapore_Grand_Prix,Singapore Grand Prix,2018-09-16,marina_bay,12:10:00Z
2018,16,https://en.wikipedia.org/wiki/2018_Russian_Grand_Prix,Russian Grand Prix,2018-09-30,sochi,11:10:00Z
2018,17,https://en.wikipedia.org/wiki/2018_Japanese_Grand_Prix,Japanese Grand Prix,2018-10-07,suzuka,05:10:00Z
2018,18,https://en.wikipedia.org/wiki/2018_United_States_Grand_Prix,United States Grand Prix,2018-10-21,americas,18:10:00Z
2018,19,https://en.wikipedia.org/wiki/2018_Mexican_Grand_Prix,Mexican Grand Prix,2018-10-28,rodriguez,19:10:00Z
2018,20,https://en.wikipedia.org/wiki/2018_Brazilian_Grand_Prix,Brazilian Grand Prix,2018-11-11,interlagos,17:10:00Z
2018,21,https://en.wikipedia.org/wiki/2018_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,2018-11-25,yas_marina,13:10:00Z
1989,1,http://en.wikipedia.org/wiki/1989_Brazilian_Grand_Prix,Brazilian Grand Prix,1989-03-26,jacarepagua,
1989,2,http://en.wikipedia.org/wiki/1989_San_Marino_Grand_Prix,San Marino Grand Prix,1989-04-23,imola,
1989,3,http://en.wikipedia.org/wiki/1989_Monaco_Grand_Prix,Monaco Grand Prix,1989-05-07,monaco,
1989,4,http://en.wikipedia.org/wiki/1989_Mexican_Grand_Prix,Mexican Grand Prix,1989-05-28,rodriguez,
1989,5,http://en.wikipedia.org/wiki/1989_United_States_Grand_Prix,United States Grand Prix,1989-06-04,phoenix,
1989,6,http://en.wikipedia.org/wiki/1989_Canadian_Grand_Prix,Canadian Grand Prix,1989-06-18,villeneuve,
1989,7,http://en.wikipedia.org/wiki/1989_French_Grand_Prix,French Grand Prix,1989-07-09,ricard,
1989,8,http://en.wikipedia.org/wiki/1989_British_Grand_Prix,British Grand Prix,1989-07-16,silverstone,
1989,9,http://en.wikipedia.org/wiki/1989_German_Grand_Prix,German Grand Prix,1989-07-30,hockenheimring,
1989,10,http://en.wikipedia.org/wiki/1989_Hungarian_Grand_Prix,Hungarian Grand Prix,1989-08-13,hungaroring,
1989,11,http://en.wikipedia.org/wiki/1989_Belgian_Grand_Prix,Belgian Grand Prix,1989-08-27,spa,
1989,12,http://en.wikipedia.org/wiki/1989_Italian_Grand_Prix,Italian Grand Prix,1989-09-10,monza,
1989,13,http://en.wikipedia.org/wiki/1989_Portuguese_Grand_Prix,Portuguese Grand Prix,1989-09-24,estoril,
1989,14,http://en.wikipedia.org/wiki/1989_Spanish_Grand_Prix,Spanish Grand Prix,1989-10-01,jerez,
1989,15,http://en.wikipedia.org/wiki/1989_Japanese_Grand_Prix,Japanese Grand Prix,1989-10-22,suzuka,
1989,16,http://en.wikipedia.org/wiki/1989_Australian_Grand_Prix,Australian Grand Prix,1989-11-05,adelaide,
1966,1,http://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix,Monaco Grand Prix,1966-05-22,monaco,
1966,2,http://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix,Belgian Grand Prix,1966-06-12,spa,
1966,3,http://en.wikipedia.org/wiki/1966_French_Grand_Prix,French Grand Prix,1966-07-03,reims,
1966,4,http://en.wikipedia.org/wiki/1966_British_Grand_Prix,British Grand Prix,1966-07-16,brands_hatch,
1966,5,http://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix,Dutch Grand Prix,1966-07-24,zandvoort,
1966,6,http://en.wikipedia.org/wiki/1966_German_Grand_Prix,German Grand Prix,1966-08-07,nurburgring,
1966,7,http://en.wikipedia.org/wiki/1966_Italian_Grand_Prix,Italian Grand Prix,1966-09-04,monza,
1966,8,http://en.wikipedia.org/wiki/1966_United_States_Grand_Prix,United States Grand Prix,1966-10-02,watkins_glen,
1966,9,http://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix,Mexican Grand Prix,1966-10-23,rodriguez,
1970,1,http://en.wikipedia.org/wiki/1970_South_African_Grand_Prix,South African Grand Prix,1970-03-07,kyalami,
1970,2,http://en.wikipedia.org/wiki/1970_Spanish_Grand_Prix,Spanish Grand Prix,1970-04-19,jarama,
1970,3,http://en.wikipedia.org/wiki/1970_Monaco_Grand_Prix,Monaco Grand Prix,1970-05-10,monaco,
1970,4,http://en.wikipedia.org/wiki/1970_Belgian_Grand_Prix,Belgian Grand Prix,1970-06-07,spa,
1970,5,http://en.wikipedia.org/wiki/1970_Dutch_Grand_Prix,Dutch Grand Prix,1970-06-21,zandvoort,
1970,6,http://en.wikipedia.org/wiki/1970_French_Grand_Prix,French Grand Prix,1970-07-05,charade,
1970,7,http://en.wikipedia.org/wiki/1970_British_Grand_Prix,British Grand Prix,1970-07-18,brands_hatch,
1970,8,http://en.wikipedia.org/wiki/1970_German_Grand_Prix,German Grand Prix,1970-08-02,hockenheimring,
1970,9,http://en.wikipedia.org/wiki/1970_Austrian_Grand_Prix,Austrian Grand Prix,1970-08-16,osterreichring,
